train_sizes,train_mean,train_std,val_mean,val_std
41,,,,
83,,,,
125,,,,
166,1.0,0.0,0.6302921555095469,0.08310936290724642
208,0.999915317031862,0.00016936593627607795,0.7101771336553945,0.04935902548571948
250,0.9994206322077316,0.0006012754315661427,0.7826178974005061,0.021489371925895385
291,0.9973103541361773,0.0006157647393407377,0.7515044858523119,0.04302084310731491
333,0.995258314948234,0.0005620069596931293,0.7798067632850241,0.046081465758441784
375,0.9949265618538217,0.0016947064757041183,0.7830434782608695,0.045938848683291254
417,0.9948596491158803,0.0012802913824270451,0.7755463538072235,0.040643060298667016
